sales_person,country,product,date,amount,boxes_shipped,day,month,year,weekdays
Husein Augar,UK,Almond Choco,2022-05-17,8309.0,166.0,17,5,2022,Tuesday
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,3164.0,164.0,18,5,2022,Wednesday
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,5691.0,171.0,17,8,2022,Wednesday
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490.0,49.0,4,4,2022,Monday
Brien Boise,India,85% Dark Bars,2022-09-08,18032.0,205.0,8,9,2022,Thursday
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637.0,313.0,17,1,2022,Monday
Andria Kimpton,Canada,White Choc,2022-02-14,4067.0,29.0,14,2,2022,Monday
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,8204.0,307.0,16,5,2022,Monday
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,9870.0,121.0,16,3,2022,Wednesday
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131.0,285.0,31,1,2022,Monday
Barr Faughny,Canada,Organic Choco Syrup,2022-10-03,1141.0,205.0,3,10,2022,Monday
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,7980.0,157.0,30,6,2022,Thursday
Van Tuxwell,New Zealand,Eclairs,2022-01-03,5229.0,182.0,3,1,2022,Monday
Mallorie Waber,UK,Drinking Coco,2022-05-27,3423.0,100.0,27,5,2022,Friday
Oby Sorrel,UK,Milk Bars,2022-11-07,6468.0,223.0,7,11,2022,Monday
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-02-03,4326.0,61.0,3,2,2022,Thursday
Jehu Rudeforth,USA,Raspberry Choco,2022-04-03,7154.0,133.0,3,4,2022,Sunday
Kelci Walkden,UK,85% Dark Bars,2022-06-23,3997.0,228.0,23,6,2022,Thursday
Kelci Walkden,USA,Almond Choco,2022-01-27,5180.0,233.0,27,1,2022,Thursday
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723.0,425.0,14,1,2022,Friday
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952.0,24.0,29,7,2022,Friday
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,5691.0,495.0,13,5,2022,Friday
Barr Faughny,Canada,Baker's Choco Chips,2022-03-02,10969.0,170.0,2,3,2022,Wednesday
Brien Boise,India,Smooth Sliky Salty,2022-05-27,5964.0,26.0,27,5,2022,Friday
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821.0,24.0,18,2,2022,Friday
Brien Boise,India,Spicy Special Slims,2022-01-28,1302.0,33.0,28,1,2022,Friday
Van Tuxwell,UK,Eclairs,2022-06-29,5474.0,109.0,29,6,2022,Wednesday
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179.0,276.0,13,1,2022,Thursday
Jehu Rudeforth,UK,After Nines,2022-06-27,1946.0,164.0,27,6,2022,Monday
Barr Faughny,Canada,White Choc,2022-03-29,4291.0,1.0,29,3,2022,Tuesday
Gunar Cockshoot,India,Organic Choco Syrup,2022-03-06,7196.0,160.0,6,3,2022,Sunday
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939.0,98.0,21,3,2022,Monday
Mallorie Waber,India,Eclairs,2022-12-04,10437.0,46.0,4,12,2022,Sunday
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916.0,259.0,19,1,2022,Wednesday
Karlen McCaffrey,UK,50% Dark Bites,2022-06-04,3647.0,310.0,4,6,2022,Saturday
Kaine Padly,Australia,50% Dark Bites,2022-02-08,8995.0,78.0,8,2,2022,Tuesday
Gigi Bohling,Australia,Eclairs,2022-12-04,7252.0,136.0,4,12,2022,Sunday
Oby Sorrel,India,Drinking Coco,2022-07-21,16380.0,130.0,21,7,2022,Thursday
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660.0,24.0,22,3,2022,Tuesday
Husein Augar,India,Peanut Butter Cubes,2022-09-05,4522.0,5.0,5,9,2022,Monday
Andria Kimpton,Australia,Baker's Choco Chips,2022-09-08,329.0,109.0,8,9,2022,Thursday
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294.0,20,7,2022,Wednesday
Brien Boise,India,70% Dark Bites,2022-04-14,4641.0,413.0,14,4,2022,Thursday
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136.0,25,1,2022,Tuesday
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192.0,175.0,25,4,2022,Monday
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237.0,17,1,2022,Monday
Karlen McCaffrey,USA,Eclairs,2022-08-15,868.0,125.0,15,8,2022,Monday
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-02-06,210.0,16.0,6,2,2022,Sunday
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007.0,135.0,30,6,2022,Thursday
Dotty Strutley,New Zealand,Raspberry Choco,2022-10-02,5845.0,91.0,2,10,2022,Sunday
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614.0,23,2,2022,Wednesday
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216.0,27,1,2022,Thursday
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977.0,317.0,26,5,2022,Thursday
Brien Boise,USA,70% Dark Bites,2022-04-14,1694.0,21.0,14,4,2022,Thursday
Madelene Upcott,Australia,99% Dark & Pure,2022-01-08,4326.0,154.0,8,1,2022,Saturday
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222.0,22,8,2022,Monday
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157.0,22,7,2022,Friday
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27.0,28,4,2022,Thursday
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350.0,30,5,2022,Monday
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157.0,21,7,2022,Thursday
Jan Morforth,UK,Caramel Stuffed Bars,2022-02-08,3094.0,468.0,8,2,2022,Tuesday
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130.0,15,6,2022,Wednesday
Oby Sorrel,India,85% Dark Bars,2022-05-07,8981.0,130.0,7,5,2022,Saturday
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-12-04,7.0,518.0,4,12,2022,Sunday
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105.0,18,8,2022,Thursday
Jan Morforth,UK,50% Dark Bites,2022-12-01,5250.0,293.0,1,12,2022,Thursday
Gunar Cockshoot,Canada,White Choc,2022-11-08,7560.0,15.0,8,11,2022,Tuesday
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384.0,13,1,2022,Thursday
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135.0,29,4,2022,Friday
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92.0,7,7,2022,Thursday
Madelene Upcott,New Zealand,Mint Chip Choco,2022-11-03,7413.0,4.0,3,11,2022,Thursday
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239.0,16,2,2022,Wednesday
Barr Faughny,Australia,Organic Choco Syrup,2022-07-01,2303.0,33.0,1,7,2022,Friday
Beverie Moffet,New Zealand,Drinking Coco,2022-12-01,1141.0,518.0,1,12,2022,Thursday
Beverie Moffet,India,Eclairs,2022-09-06,10325.0,147.0,6,9,2022,Tuesday
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84.0,16,5,2022,Monday
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94.0,23,6,2022,Thursday
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194.0,28,1,2022,Friday
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216.0,14,7,2022,Thursday
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247.0,18,4,2022,Monday
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79.0,14,6,2022,Tuesday
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237.0,15,4,2022,Friday
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63.0,19,5,2022,Thursday
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172.0,13,4,2022,Wednesday
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408.0,15,8,2022,Monday
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233.0,22,8,2022,Monday
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59.0,22,4,2022,Friday
Kaine Padly,UK,Choco Coated Almonds,2022-03-08,8022.0,123.0,8,3,2022,Tuesday
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-04-01,371.0,229.0,1,4,2022,Friday
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198.0,13,1,2022,Thursday
Van Tuxwell,Australia,Baker's Choco Chips,2022-11-05,13258.0,32.0,5,11,2022,Saturday
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236.0,16,2,2022,Wednesday
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67.0,20,5,2022,Friday
Jehu Rudeforth,UK,Drinking Coco,2022-03-02,7140.0,438.0,2,3,2022,Wednesday
Beverie Moffet,India,Manuka Honey Choco,2022-06-05,9835.0,167.0,5,6,2022,Sunday
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135.0,30,6,2022,Thursday
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148.0,22,3,2022,Tuesday
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54.0,17,2,2022,Thursday
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64.0,7,7,2022,Thursday
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181.0,16,3,2022,Wednesday
Kelci Walkden,UK,99% Dark & Pure,2022-12-08,3507.0,114.0,8,12,2022,Thursday
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181.0,21,1,2022,Friday
Oby Sorrel,Australia,50% Dark Bites,2022-06-05,721.0,151.0,5,6,2022,Sunday
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137.0,24,6,2022,Friday
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163.0,5,5,2022,Thursday
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84.0,25,3,2022,Friday
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140.0,14,2,2022,Monday
Curtice Advani,New Zealand,85% Dark Bars,2022-12-05,5404.0,187.0,5,12,2022,Monday
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169.0,25,1,2022,Tuesday
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12.0,28,6,2022,Tuesday
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194.0,13,7,2022,Wednesday
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252.0,16,5,2022,Monday
Jan Morforth,India,After Nines,2022-03-14,6496.0,168.0,14,3,2022,Monday
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261.0,15,8,2022,Monday
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256.0,16,2,2022,Wednesday
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43.0,15,6,2022,Wednesday
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100.0,27,5,2022,Friday
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98.0,14,6,2022,Tuesday
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76.0,25,2,2022,Friday
Wilone O'Kielt,India,After Nines,2022-04-08,12026.0,262.0,8,4,2022,Friday
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244.0,28,6,2022,Tuesday
Gunar Cockshoot,Canada,Spicy Special Slims,2022-05-04,13405.0,12.0,4,5,2022,Wednesday
Madelene Upcott,Canada,Peanut Butter Cubes,2022-05-07,14763.0,113.0,7,5,2022,Saturday
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48.0,20,1,2022,Thursday
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131.0,16,2,2022,Wednesday
Curtice Advani,UK,Drinking Coco,2022-12-07,455.0,174.0,7,12,2022,Wednesday
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254.0,16,6,2022,Thursday
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284.0,13,4,2022,Wednesday
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67.0,21,2,2022,Monday
Roddy Speechley,Canada,Choco Coated Almonds,2022-11-05,5873.0,249.0,5,11,2022,Saturday
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313.0,15,4,2022,Friday
Oby Sorrel,Canada,Peanut Butter Cubes,2022-07-06,12425.0,167.0,6,7,2022,Wednesday
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286.0,27,6,2022,Monday
Barr Faughny,India,After Nines,2022-07-29,8190.0,109.0,29,7,2022,Friday
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-02-06,4991.0,166.0,6,2,2022,Sunday
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85.0,26,1,2022,Wednesday
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-02-03,5096.0,142.0,3,2,2022,Thursday
Van Tuxwell,Australia,70% Dark Bites,2022-10-01,7063.0,104.0,1,10,2022,Saturday
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115.0,27,6,2022,Monday
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18.0,30,6,2022,Thursday
Roddy Speechley,Australia,85% Dark Bars,2022-08-07,4200.0,80.0,7,8,2022,Sunday
Oby Sorrel,India,Spicy Special Slims,2022-08-06,11137.0,88.0,6,8,2022,Saturday
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212.0,18,8,2022,Thursday
Kaine Padly,Australia,After Nines,2022-08-04,6832.0,306.0,4,8,2022,Thursday
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181.0,8,8,2022,Monday
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65.0,26,8,2022,Friday
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158.0,14,1,2022,Friday
Dennison Crosswaite,USA,Baker's Choco Chips,2022-11-08,17465.0,271.0,8,11,2022,Tuesday
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24.0,31,5,2022,Tuesday
Van Tuxwell,New Zealand,50% Dark Bites,2022-11-07,3626.0,10.0,7,11,2022,Monday
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-02-03,3346.0,304.0,3,2,2022,Thursday
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88.0,13,7,2022,Wednesday
Rafaelita Blaksland,UK,Spicy Special Slims,2022-03-08,9345.0,133.0,8,3,2022,Tuesday
Curtice Advani,UK,Peanut Butter Cubes,2022-01-03,15008.0,165.0,3,1,2022,Monday
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150.0,13,4,2022,Wednesday
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180.0,14,2,2022,Monday
Mallorie Waber,India,White Choc,2022-07-26,819.0,213.0,26,7,2022,Tuesday
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133.0,27,1,2022,Thursday
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446.0,14,4,2022,Thursday
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141.0,19,5,2022,Thursday
Husein Augar,India,Eclairs,2022-09-02,4956.0,58.0,2,9,2022,Friday
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58.0,25,5,2022,Wednesday
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76.0,26,1,2022,Wednesday
Beverie Moffet,India,White Choc,2022-04-07,1813.0,296.0,7,4,2022,Thursday
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73.0,13,4,2022,Wednesday
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119.0,25,1,2022,Tuesday
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78.0,25,4,2022,Monday
Camilla Castle,USA,Eclairs,2022-10-06,4515.0,392.0,6,10,2022,Thursday
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51.0,22,8,2022,Monday
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207.0,27,6,2022,Monday
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40.0,30,6,2022,Thursday
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100.0,30,8,2022,Tuesday
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57.0,23,8,2022,Tuesday
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42.0,26,8,2022,Friday
Gigi Bohling,Australia,Orange Choco,2022-09-03,574.0,156.0,3,9,2022,Saturday
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23.0,20,4,2022,Wednesday
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-10-06,4844.0,539.0,6,10,2022,Thursday
Husein Augar,Australia,Organic Choco Syrup,2022-08-02,938.0,158.0,2,8,2022,Tuesday
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22.0,25,8,2022,Thursday
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73.0,16,2,2022,Wednesday
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27.0,30,5,2022,Monday
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64.0,29,6,2022,Wednesday
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133.0,16,6,2022,Thursday
Brien Boise,UK,Caramel Stuffed Bars,2022-04-03,2681.0,149.0,3,4,2022,Sunday
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434.0,15,3,2022,Tuesday
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85.0,27,1,2022,Thursday
Beverie Moffet,Canada,Drinking Coco,2022-05-07,994.0,118.0,7,5,2022,Saturday
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299.0,29,3,2022,Tuesday
Mallorie Waber,Canada,Almond Choco,2022-12-05,4214.0,35.0,5,12,2022,Monday
Oby Sorrel,USA,Drinking Coco,2022-11-03,7714.0,44.0,3,11,2022,Thursday
Brien Boise,New Zealand,Eclairs,2022-11-07,4690.0,299.0,7,11,2022,Monday
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-01-08,13062.0,62.0,8,1,2022,Saturday
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200.0,16,2,2022,Wednesday
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235.0,13,4,2022,Wednesday
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363.0,14,2,2022,Monday
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68.0,14,3,2022,Monday
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26.0,26,4,2022,Tuesday
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-05-04,3584.0,200.0,4,5,2022,Wednesday
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264.0,3,3,2022,Thursday
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175.0,13,6,2022,Monday
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352.0,14,2,2022,Monday
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183.0,18,4,2022,Monday
Oby Sorrel,New Zealand,85% Dark Bars,2022-01-02,3381.0,417.0,2,1,2022,Sunday
Dotty Strutley,New Zealand,Orange Choco,2022-04-08,2030.0,146.0,8,4,2022,Friday
Andria Kimpton,New Zealand,Almond Choco,2022-05-04,6559.0,158.0,4,5,2022,Wednesday
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168.0,26,1,2022,Wednesday
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176.0,21,1,2022,Friday
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172.0,22,8,2022,Monday
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224.0,27,1,2022,Thursday
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68.0,16,2,2022,Wednesday
Dotty Strutley,USA,Raspberry Choco,2022-03-01,3437.0,46.0,1,3,2022,Tuesday
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2.0,24,8,2022,Wednesday
Oby Sorrel,USA,Spicy Special Slims,2022-07-02,5691.0,417.0,2,7,2022,Saturday
Mallorie Waber,Australia,Smooth Sliky Salty,2022-11-02,4158.0,109.0,2,11,2022,Wednesday
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81.0,29,3,2022,Tuesday
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350.0,15,6,2022,Wednesday
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142.0,26,4,2022,Tuesday
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264.0,15,7,2022,Friday
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20.0,23,6,2022,Thursday
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-11-01,13846.0,421.0,1,11,2022,Tuesday
Beverie Moffet,UK,50% Dark Bites,2022-09-02,2499.0,271.0,2,9,2022,Friday
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204.0,6,6,2022,Monday
Dotty Strutley,UK,Caramel Stuffed Bars,2022-10-08,5768.0,235.0,8,10,2022,Saturday
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-04-01,2226.0,46.0,1,4,2022,Friday
Andria Kimpton,Canada,70% Dark Bites,2022-08-04,10262.0,15.0,4,8,2022,Thursday
Barr Faughny,UK,Milk Bars,2022-02-03,3864.0,430.0,3,2,2022,Thursday
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709.0,15,6,2022,Wednesday
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47.0,14,2,2022,Monday
Husein Augar,UK,After Nines,2022-05-07,3507.0,380.0,7,5,2022,Saturday
Barr Faughny,India,Mint Chip Choco,2022-12-01,7413.0,465.0,1,12,2022,Thursday
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96.0,3,3,2022,Thursday
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188.0,18,5,2022,Wednesday
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202.0,28,7,2022,Thursday
Curtice Advani,UK,Manuka Honey Choco,2022-07-02,1666.0,106.0,2,7,2022,Saturday
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421.0,30,5,2022,Monday
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27.0,25,4,2022,Monday
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45.0,16,2,2022,Wednesday
Kelci Walkden,Australia,Drinking Coco,2022-04-05,1288.0,60.0,5,4,2022,Tuesday
Van Tuxwell,Canada,70% Dark Bites,2022-02-06,7077.0,77.0,6,2,2022,Sunday
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-11-07,2317.0,464.0,7,11,2022,Monday
Beverie Moffet,New Zealand,Spicy Special Slims,2022-07-06,63.0,60.0,6,7,2022,Wednesday
Jan Morforth,UK,Almond Choco,2022-06-07,9744.0,157.0,7,6,2022,Tuesday
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154.0,15,6,2022,Wednesday
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239.0,14,4,2022,Thursday
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163.0,8,8,2022,Monday
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28.0,29,3,2022,Tuesday
Roddy Speechley,Australia,Organic Choco Syrup,2022-04-07,3647.0,76.0,7,4,2022,Thursday
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96.0,16,2,2022,Wednesday
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-02-05,2520.0,156.0,5,2,2022,Saturday
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106.0,21,7,2022,Thursday
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235.0,18,8,2022,Thursday
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259.0,22,6,2022,Wednesday
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126.0,19,7,2022,Tuesday
Madelene Upcott,UK,Peanut Butter Cubes,2022-12-08,7756.0,85.0,8,12,2022,Thursday
Madelene Upcott,USA,Choco Coated Almonds,2022-07-06,5446.0,132.0,6,7,2022,Wednesday
Marney O'Breen,Canada,Peanut Butter Cubes,2022-08-03,6594.0,91.0,3,8,2022,Wednesday
Ches Bonnell,Australia,Choco Coated Almonds,2022-08-04,1470.0,167.0,4,8,2022,Thursday
Curtice Advani,Canada,Eclairs,2022-06-05,721.0,203.0,5,6,2022,Sunday
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11.0,31,5,2022,Tuesday
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295.0,13,1,2022,Thursday
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77.0,15,3,2022,Tuesday
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319.0,16,2,2022,Wednesday
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196.0,14,1,2022,Friday
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102.0,21,3,2022,Monday
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312.0,17,5,2022,Tuesday
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55.0,8,8,2022,Monday
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82.0,26,4,2022,Tuesday
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260.0,15,4,2022,Friday
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591.0,19,5,2022,Thursday
Dennison Crosswaite,Canada,Drinking Coco,2022-10-01,2702.0,24.0,1,10,2022,Saturday
Mallorie Waber,New Zealand,After Nines,2022-04-05,483.0,228.0,5,4,2022,Tuesday
Roddy Speechley,Canada,White Choc,2022-05-04,5887.0,268.0,4,5,2022,Wednesday
Andria Kimpton,India,After Nines,2022-01-17,952.0,68.0,17,1,2022,Monday
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173.0,22,3,2022,Tuesday
Dotty Strutley,Australia,White Choc,2022-05-07,6055.0,93.0,7,5,2022,Saturday
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338.0,27,4,2022,Wednesday
Kaine Padly,Canada,Almond Choco,2022-12-08,6055.0,73.0,8,12,2022,Thursday
Jan Morforth,UK,Baker's Choco Chips,2022-11-03,721.0,251.0,3,11,2022,Thursday
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229.0,13,5,2022,Friday
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-12-05,11781.0,91.0,5,12,2022,Monday
Brien Boise,USA,Raspberry Choco,2022-12-01,672.0,194.0,1,12,2022,Thursday
